MDEC-23,GATS8e,GATS8s,SpMax7_Bhe,CrippenMR,Class
60.1757,1.0229,1.0575,3.4009,0.0,1
44.5031,1.7155,1.7013,3.3611,172.2,1
37.5488,0.6992,0.7828,3.2705,173.4028,1
40.5929,0.9951,1.0298,3.2748,177.2726,1
52.7343,0.7363,0.7427,3.4094,171.1315,1
52.3812,0.9038,0.884,3.243,165.3539,1
56.0611,1.1138,1.0788,3.3634,170.362,1
40.6558,0.4525,0.6483,3.2286,146.861,1
31.9506,1.72,1.7228,3.065,122.4998,1
35.6989,1.2051,1.1755,3.0814,135.4757,1
32.2745,1.1013,0.9378,3.0399,136.091,1
40.393,1.0447,1.0954,3.2543,153.72,1
35.8397,0.9463,0.9802,2.9633,138.144,1
32.6743,0.6175,0.7651,3.1259,134.8915,1
52.0187,0.8224,0.6571,3.1155,148.224,1
44.7998,1.1836,1.625,3.243,158.9844,1
49.4774,1.1996,1.3143,3.3556,164.8552,1
23.4488,1.566,1.6037,3.2203,145.6294,1
44.591,0.6409,0.7348,3.3199,170.728,1
65.0939,2.209,1.9261,3.3442,180.2179,1
51.1057,1.0927,1.2492,3.376,180.5565,1
36.9243,1.1114,1.4821,3.1505,149.8797,1
47.536,0.7225,0.7231,3.1852,134.6085,1
39.6797,0.4535,0.4965,3.0967,138.1843,1
34.789,0.514,0.5023,3.438,149.22,1
35.8792,0.9098,0.8243,3.2766,163.4162,1
30.2222,1.1746,1.0021,3.3432,152.7576,1
47.975,0.863,0.8797,3.3979,143.9222,1
51.4783,0.657,0.684,3.3965,162.6035,1
39.853,0.8919,0.6782,3.1835,150.8584,1
36.4379,1.1395,1.2112,2.9929,121.315,1
39.6365,0.8982,0.8252,3.2639,177.693,1
54.58,0.704,0.8124,3.3915,166.967,1
46.3298,1.3997,1.5228,3.3677,173.3785,1
60.0166,1.1695,1.3158,3.3648,164.1497,1
36.6323,1.0045,1.0523,3.0917,137.8637,1
40.1784,1.628,1.6968,3.3357,159.349,1
52.249,1.3701,1.3532,3.3579,169.4775,1
30.0382,1.1636,1.2206,3.0738,142.8927,1
34.5325,0.9827,1.1623,3.0169,123.845,1
51.3093,0.9665,0.9345,3.227,165.3539,1
41.1121,1.0424,1.1147,3.2781,163.7244,1
40.4145,1.2305,1.1848,3.1369,144.4535,1
43.2379,0.8821,0.9128,3.0919,140.4875,1
48.0809,1.4909,1.5793,3.2686,141.9105,1
43.3655,0.9211,0.7393,3.3202,173.075,1
38.5752,0.7188,0.6906,3.2562,162.435,1
31.647,0.7149,0.6769,3.1549,140.502,1
65.256,0.557,1.2861,3.4642,173.5768,1
57.6723,1.5711,1.6353,3.2838,174.476,1
42.4795,1.0559,1.0006,3.3057,141.6895,1
30.0905,0.9025,1.0157,3.2498,138.85,1
39.5589,0.8086,0.7965,3.4217,148.922,1
44.5792,0.9051,1.3653,3.2969,162.163,1
30.4957,1.5467,1.5595,3.0947,135.6957,1
43.1223,0.946,1.0998,3.2969,155.971,1
36.9645,0.8408,0.7583,3.3526,163.24,1
41.3221,0.9294,0.7662,3.3677,177.5147,1
42.0664,0.7194,0.838,3.3169,154.9175,1
30.9405,0.8232,0.8586,3.1369,129.419,1
45.2616,1.4464,1.4471,3.2868,151.7935,1
42.7042,1.1156,1.0846,3.3677,160.865,1
53.6621,1.3103,1.3469,3.2033,156.4422,1
38.8355,0.7244,0.5082,3.3686,163.6595,1
43.1223,1.0219,1.2778,3.2969,161.008,1
29.7847,1.8459,1.9239,3.1941,144.502,1
43.0391,1.9666,2.2343,3.2969,163.983,1
35.7706,1.3062,1.1219,3.2819,153.3029,1
52.6379,1.0084,1.0089,3.3599,139.0405,1
36.3919,0.5151,0.6285,3.4092,151.053,1
45.9384,0.692,0.4825,3.3457,157.3844,1
46.1793,0.7038,0.9071,3.4579,173.091,1
52.9091,0.7469,0.8155,3.4015,170.1075,1
30.0905,0.8504,0.9599,3.2316,138.85,1
46.1239,0.9569,0.7133,3.3646,173.644,1
44.0116,0.7003,0.5625,3.2805,160.818,1
40.3758,0.3215,0.5014,3.0787,147.3087,1
41.9214,1.5104,1.5327,3.1634,153.4238,1
28.7875,1.4104,1.4491,3.2349,138.7324,1
28.782,0.8656,0.8688,3.2469,133.2871,1
42.5724,0.6969,0.543,3.3597,167.8225,1
49.1622,1.4684,1.5488,3.376,177.9955,1
32.8945,0.8576,0.7575,3.1586,146.964,1
39.8284,0.7479,0.8469,3.2261,145.2085,1
26.0063,1.7827,1.7914,3.0307,120.352,1
40.3072,1.2348,1.2909,3.2896,167.5747,0
41.2676,1.2983,1.201,3.3158,161.3547,0
42.4377,2.3529,2.541,3.3152,151.6457,0
34.563,1.249,0.9985,3.176,137.4745,0
40.833,0.6832,0.7356,3.2928,168.964,0
35.4194,1.2965,1.1971,3.1063,140.3597,0
34.9148,0.9951,1.0391,3.1567,135.6725,0
44.1374,1.2154,1.1343,3.174,146.4845,0
56.1006,0.6813,0.7872,3.3886,0.0,0
40.9457,1.442,1.9702,3.2867,157.1667,0
44.0116,0.7763,0.6988,3.2576,155.589,0
48.4779,1.0947,1.373,3.3624,170.4985,0
37.5298,1.6262,1.5364,3.1581,137.607,0
54.8677,1.4926,1.4489,3.3287,170.362,0
47.9243,1.1085,1.2671,3.3677,175.9395,0
46.8619,1.6181,1.8204,3.366,148.5679,0
52.8794,1.3795,1.507,3.3529,167.137,0
48.9986,0.7857,0.7226,3.2458,160.4237,0
40.1328,1.3656,1.6684,3.201,139.659,0
46.6635,1.0378,1.0799,3.2782,152.063,0
39.6079,0.9408,0.963,3.1936,132.2645,0
42.695,0.6098,0.7008,3.22,142.3292,0
39.0073,1.2129,0.9914,3.3164,161.2119,0
46.4822,0.9203,0.8511,3.3207,155.8237,0
31.0455,1.1907,1.1837,3.1869,138.8037,0
48.9891,1.2571,1.4509,3.3505,159.3902,0
38.6603,0.8394,0.971,3.2779,164.4665,0
34.6939,1.2595,1.3664,3.2555,130.5887,0
42.2191,0.968,0.9414,3.2002,157.5898,0
44.2499,1.0943,0.9843,3.2875,164.5,0
44.0546,1.2752,1.3193,3.2969,158.606,0
36.4437,1.2392,1.4814,3.1507,154.6385,0
34.8701,0.5905,0.74,3.3597,147.0043,0
42.7042,1.2749,1.4917,3.2969,161.05,0
45.6774,1.0589,1.5317,3.3208,169.091,0
41.1182,1.3262,1.488,3.138,147.7859,0
39.1519,0.8546,1.2522,3.1304,127.1097,0
41.2295,1.634,1.4328,3.1742,143.9512,0
35.223,0.9631,0.9685,3.1973,133.2928,0
51.6137,0.7453,0.8432,3.3963,162.6035,0
50.1421,0.6597,0.8887,3.372,156.254,0
40.8166,0.916,0.7555,3.3524,168.134,0
33.3718,0.4147,0.5023,3.3136,153.2157,0
48.9891,1.454,1.4716,3.3581,159.4092,0
38.8164,1.2338,1.5115,3.4205,167.5635,0
48.9891,1.104,1.1539,3.3514,154.1802,0
38.5495,1.0173,1.1419,3.2934,153.1375,0
25.2882,1.9672,2.1997,3.2256,129.5627,0
37.5447,0.9673,0.9048,3.2601,160.1315,0
38.87,1.1979,0.9628,3.2842,153.2525,0
46.2385,0.9983,1.0724,3.3657,166.4072,0
41.6328,0.8977,0.8907,3.1573,146.2045,0
37.0979,0.8583,1.0681,3.1505,146.7977,0
50.9941,0.7051,0.62,3.2697,165.3539,0
23.6094,1.0227,1.0197,3.2329,111.9477,1
7.8612,0.6815,0.2319,2.394,67.9057,1
25.1747,1.2814,1.1326,3.1403,129.3109,1
31.9875,0.9007,0.7993,3.3088,145.2756,1
14.9505,3.2349,4.223,2.3661,68.656,1
14.9505,1.1581,2.0807,2.4666,69.4004,1
22.5401,0.9201,0.9087,3.1269,150.5027,1
32.9063,0.8353,0.8331,3.1672,129.8947,1
24.5944,0.704,0.8197,3.1935,131.2339,1
32.6125,1.0735,1.0596,3.3294,134.1382,1
30.8363,0.695,0.6407,3.2674,123.0387,1
24.1006,1.0768,1.1092,3.2151,129.8004,1
25.2822,1.0053,1.0306,3.1395,124.6238,1
34.2818,1.0716,1.2138,3.2,144.6195,1
34.2818,1.1348,1.2018,3.2852,151.4827,1
33.4578,0.9193,1.0074,3.2178,143.1042,1
33.863,0.98,1.1027,3.3058,155.3347,1
27.3803,1.39,1.699,3.1284,140.1315,1
18.6832,0.554,0.5014,3.0223,122.0813,1
31.9002,0.9934,0.994,3.0455,118.0314,1
24.2566,1.0219,0.96,3.2301,130.4974,1
31.283,1.2854,1.2004,3.1645,129.6942,1
37.4368,1.2343,0.8127,3.071,143.1954,1
11.8619,4.2999,3.7373,2.4419,68.636,1
31.588,1.2658,1.4751,3.1453,142.6533,1
32.9174,1.1553,1.2063,3.0822,130.8423,1
31.588,1.2372,1.3618,3.1453,137.6013,1
13.6305,1.0932,0.7954,2.4269,71.9807,1
33.1806,1.0687,0.985,3.004,125.0777,1
28.357,1.3249,0.9103,3.2468,133.7697,1
