MDEC-23,GATS8e,GATS8s,SpMax7_Bhe,CrippenMR,SpMax5_Bhv,SpMin1_Bhs,VE3_Dzi,Class
60.1757,1.0229,1.0575,3.4009,0.0,3.5545,2.3109,-15.594,1
44.5031,1.7155,1.7013,3.3611,172.2,3.6066,2.1117,-14.3317,1
37.5488,0.6992,0.7828,3.2705,173.4028,3.6441,2.0198,-25.4493,1
40.5929,0.9951,1.0298,3.2748,177.2726,3.6564,2.0191,-19.6376,1
52.7343,0.7363,0.7427,3.4094,171.1315,3.5216,2.1664,-8.2157,1
52.3812,0.9038,0.884,3.243,165.3539,3.6654,2.0166,-159.1796,1
56.0611,1.1138,1.0788,3.3634,170.362,3.432,2.0638,-153.7582,1
40.6558,0.4525,0.6483,3.2286,146.861,3.5081,2.1299,-10.1782,1
31.9506,1.72,1.7228,3.065,122.4998,3.3155,2.1792,-7.9593,1
35.6989,1.2051,1.1755,3.0814,135.4757,3.3043,2.0303,-126.4585,1
32.2745,1.1013,0.9378,3.0399,136.091,3.2767,1.8866,-18.1513,1
40.393,1.0447,1.0954,3.2543,153.72,3.5709,2.0997,-11.5899,1
35.8397,0.9463,0.9802,2.9633,138.144,3.5487,2.0809,-3.5584,1
32.6743,0.6175,0.7651,3.1259,134.8915,3.3041,1.9682,-7.6888,1
52.0187,0.8224,0.6571,3.1155,148.224,3.5641,2.0597,-137.52,1
44.7998,1.1836,1.625,3.243,158.9844,3.5641,1.9955,-15.3511,1
49.4774,1.1996,1.3143,3.3556,164.8552,3.5706,1.9893,-2.7721,1
23.4488,1.566,1.6037,3.2203,145.6294,3.2935,2.3475,-18.2903,1
44.591,0.6409,0.7348,3.3199,170.728,3.5836,1.9607,-10.9582,1
65.0939,2.209,1.9261,3.3442,180.2179,3.6586,2.2187,-10.773,1
51.1057,1.0927,1.2492,3.376,180.5565,3.567,2.0297,-3.8109,1
36.9243,1.1114,1.4821,3.1505,149.8797,3.4497,1.9602,-7.3182,1
47.536,0.7225,0.7231,3.1852,134.6085,3.3664,2.2248,-13.5431,1
39.6797,0.4535,0.4965,3.0967,138.1843,3.357,2.0974,-5.2316,1
34.789,0.514,0.5023,3.438,149.22,3.4083,2.0331,-7.7379,1
35.8792,0.9098,0.8243,3.2766,163.4162,3.3929,2.1348,-9.7484,1
30.2222,1.1746,1.0021,3.3432,152.7576,3.5864,1.9431,-14.9565,1
47.975,0.863,0.8797,3.3979,143.9222,3.4398,2.2673,-5.336,1
51.4783,0.657,0.684,3.3965,162.6035,3.513,2.1717,-6.5423,1
39.853,0.8919,0.6782,3.1835,150.8584,3.5489,2.0073,-139.7282,1
36.4379,1.1395,1.2112,2.9929,121.315,3.2087,2.007,-8.244,1
39.6365,0.8982,0.8252,3.2639,177.693,3.5293,2.0935,-28.8073,1
54.58,0.704,0.8124,3.3915,166.967,3.5176,2.1717,-6.0215,1
46.3298,1.3997,1.5228,3.3677,173.3785,3.566,2.0446,-2.6569,1
60.0166,1.1695,1.3158,3.3648,164.1497,3.5378,2.0084,-7.2612,1
36.6323,1.0045,1.0523,3.0917,137.8637,3.3646,2.0366,-8.0746,1
40.1784,1.628,1.6968,3.3357,159.349,3.4964,1.9804,-2.9501,1
52.249,1.3701,1.3532,3.3579,169.4775,3.6663,1.9488,-4.7945,1
30.0382,1.1636,1.2206,3.0738,142.8927,3.3205,2.0944,-8.1812,1
34.5325,0.9827,1.1623,3.0169,123.845,3.2315,2.0561,-13.7789,1
51.3093,0.9665,0.9345,3.227,165.3539,3.6653,2.0164,-147.2642,1
41.1121,1.0424,1.1147,3.2781,163.7244,3.5163,2.0048,-3.3785,1
40.4145,1.2305,1.1848,3.1369,144.4535,3.3818,2.2194,-2.2809,1
43.2379,0.8821,0.9128,3.0919,140.4875,3.3215,2.0629,-123.7028,1
48.0809,1.4909,1.5793,3.2686,141.9105,3.3562,2.0359,-11.0446,1
43.3655,0.9211,0.7393,3.3202,173.075,3.6707,1.9958,-6.9491,1
38.5752,0.7188,0.6906,3.2562,162.435,3.5379,2.0084,-3.8455,1
31.647,0.7149,0.6769,3.1549,140.502,3.3428,1.9752,-4.0117,1
65.256,0.557,1.2861,3.4642,173.5768,3.6914,2.143,-33.0045,1
57.6723,1.5711,1.6353,3.2838,174.476,3.6586,2.1689,-15.1947,1
42.4795,1.0559,1.0006,3.3057,141.6895,3.4307,2.0701,-3.7648,1
30.0905,0.9025,1.0157,3.2498,138.85,3.4941,2.07,-5.8509,1
39.5589,0.8086,0.7965,3.4217,148.922,3.3622,1.9489,-25.0393,1
44.5792,0.9051,1.3653,3.2969,162.163,3.5305,2.0413,-5.8611,1
30.4957,1.5467,1.5595,3.0947,135.6957,3.4276,1.9997,-3.5242,1
43.1223,0.946,1.0998,3.2969,155.971,3.5331,2.049,-4.8294,1
36.9645,0.8408,0.7583,3.3526,163.24,3.6966,2.1074,-4.4798,1
41.3221,0.9294,0.7662,3.3677,177.5147,3.5364,2.0391,-4.736,1
42.0664,0.7194,0.838,3.3169,154.9175,3.5731,1.9529,-12.9875,1
30.9405,0.8232,0.8586,3.1369,129.419,3.2798,1.9937,-7.0536,1
45.2616,1.4464,1.4471,3.2868,151.7935,3.3643,2.0358,-6.8228,1
42.7042,1.1156,1.0846,3.3677,160.865,3.527,2.0574,-3.8216,1
53.6621,1.3103,1.3469,3.2033,156.4422,3.5365,2.1912,-5.7532,1
38.8355,0.7244,0.5082,3.3686,163.6595,3.514,1.9401,-3.6885,1
43.1223,1.0219,1.2778,3.2969,161.008,3.53,2.0451,-4.8873,1
29.7847,1.8459,1.9239,3.1941,144.502,3.4754,2.0773,-6.0551,1
43.0391,1.9666,2.2343,3.2969,163.983,3.5336,2.0512,-5.641,1
35.7706,1.3062,1.1219,3.2819,153.3029,3.3405,2.0581,-138.8876,1
52.6379,1.0084,1.0089,3.3599,139.0405,3.3336,2.0722,-123.0024,1
36.3919,0.5151,0.6285,3.4092,151.053,3.5024,2.044,-130.911,1
45.9384,0.692,0.4825,3.3457,157.3844,3.6586,2.0168,-22.8069,1
46.1793,0.7038,0.9071,3.4579,173.091,3.7616,2.0823,-20.8656,1
52.9091,0.7469,0.8155,3.4015,170.1075,3.5164,2.1691,-6.6908,1
30.0905,0.8504,0.9599,3.2316,138.85,3.4984,2.0697,-7.4402,1
46.1239,0.9569,0.7133,3.3646,173.644,3.6978,1.9852,-6.1358,1
44.0116,0.7003,0.5625,3.2805,160.818,3.6501,1.99,-12.3835,1
40.3758,0.3215,0.5014,3.0787,147.3087,3.5481,2.0884,-8.4884,1
41.9214,1.5104,1.5327,3.1634,153.4238,3.4652,1.9575,-157.9682,1
28.7875,1.4104,1.4491,3.2349,138.7324,3.3149,2.0258,-8.1719,1
28.782,0.8656,0.8688,3.2469,133.2871,3.4695,1.9791,-4.8216,1
42.5724,0.6969,0.543,3.3597,167.8225,3.5267,2.0509,-4.5916,1
49.1622,1.4684,1.5488,3.376,177.9955,3.5713,2.0399,-2.8773,1
32.8945,0.8576,0.7575,3.1586,146.964,3.3933,2.0812,-5.0997,1
39.8284,0.7479,0.8469,3.2261,145.2085,3.3242,1.9183,-16.576,1
26.0063,1.7827,1.7914,3.0307,120.352,3.2369,1.9799,-4.9358,1
40.3072,1.2348,1.2909,3.2896,167.5747,3.4308,2.0678,-26.0347,0
41.2676,1.2983,1.201,3.3158,161.3547,3.3912,1.9983,-12.0032,0
42.4377,2.3529,2.541,3.3152,151.6457,3.336,2.1599,-13.1556,0
34.563,1.249,0.9985,3.176,137.4745,3.2042,2.1071,-122.3279,0
40.833,0.6832,0.7356,3.2928,168.964,3.6499,1.9751,-30.2568,0
35.4194,1.2965,1.1971,3.1063,140.3597,3.304,2.0321,-15.7669,0
34.9148,0.9951,1.0391,3.1567,135.6725,3.529,1.953,-129.9268,0
44.1374,1.2154,1.1343,3.174,146.4845,3.396,2.0215,-140.1282,0
56.1006,0.6813,0.7872,3.3886,0.0,3.4128,2.1877,-35.4799,0
40.9457,1.442,1.9702,3.2867,157.1667,3.3636,2.088,-10.7937,0
44.0116,0.7763,0.6988,3.2576,155.589,3.6452,1.9759,-11.4754,0
48.4779,1.0947,1.373,3.3624,170.4985,3.5545,2.0361,-3.3217,0
37.5298,1.6262,1.5364,3.1581,137.607,3.5371,1.9755,-29.6885,0
54.8677,1.4926,1.4489,3.3287,170.362,3.4643,2.0565,-151.2959,0
47.9243,1.1085,1.2671,3.3677,175.9395,3.5621,2.0342,-3.5735,0
46.8619,1.6181,1.8204,3.366,148.5679,3.3408,2.0521,-127.2618,0
52.8794,1.3795,1.507,3.3529,167.137,3.5255,2.069,-2.1412,0
48.9986,0.7857,0.7226,3.2458,160.4237,3.4567,2.1678,-14.1937,0
40.1328,1.3656,1.6684,3.201,139.659,3.3884,2.0873,-14.472,0
46.6635,1.0378,1.0799,3.2782,152.063,3.4117,2.1262,-3.9087,0
39.6079,0.9408,0.963,3.1936,132.2645,3.1149,2.0294,-120.9871,0
42.695,0.6098,0.7008,3.22,142.3292,3.3505,1.9812,-13.0363,0
39.0073,1.2129,0.9914,3.3164,161.2119,3.5639,1.9251,-36.0202,0
46.4822,0.9203,0.8511,3.3207,155.8237,3.3383,2.0436,-6.561,0
31.0455,1.1907,1.1837,3.1869,138.8037,3.4131,1.9939,-3.6568,0
48.9891,1.2571,1.4509,3.3505,159.3902,3.5685,1.9875,-3.6427,0
38.6603,0.8394,0.971,3.2779,164.4665,3.5347,2.1126,-4.5275,0
34.6939,1.2595,1.3664,3.2555,130.5887,3.3372,2.0577,-7.0864,0
42.2191,0.968,0.9414,3.2002,157.5898,3.5935,2.0799,-9.3023,0
44.2499,1.0943,0.9843,3.2875,164.5,3.661,1.9935,-10.5119,0
44.0546,1.2752,1.3193,3.2969,158.606,3.5326,2.0614,-4.8327,0
36.4437,1.2392,1.4814,3.1507,154.6385,3.4575,2.0896,-7.5187,0
34.8701,0.5905,0.74,3.3597,147.0043,3.5743,2.1304,-140.7146,0
42.7042,1.2749,1.4917,3.2969,161.05,3.5285,2.0503,-4.3107,0
45.6774,1.0589,1.5317,3.3208,169.091,3.5344,2.0377,-5.3857,0
41.1182,1.3262,1.488,3.138,147.7859,3.6042,2.0742,-17.5888,0
39.1519,0.8546,1.2522,3.1304,127.1097,3.3109,2.067,-8.0226,0
41.2295,1.634,1.4328,3.1742,143.9512,3.4729,2.0204,-9.8598,0
35.223,0.9631,0.9685,3.1973,133.2928,3.1945,2.0763,-127.2618,0
51.6137,0.7453,0.8432,3.3963,162.6035,3.5106,2.1717,-7.0208,0
50.1421,0.6597,0.8887,3.372,156.254,3.5034,2.1769,-5.7097,0
40.8166,0.916,0.7555,3.3524,168.134,3.5494,2.0468,-3.9573,0
33.3718,0.4147,0.5023,3.3136,153.2157,3.3634,2.0075,-5.3031,0
48.9891,1.454,1.4716,3.3581,159.4092,3.5743,2.0007,-3.7941,0
38.8164,1.2338,1.5115,3.4205,167.5635,3.5582,2.0922,-13.3562,0
48.9891,1.104,1.1539,3.3514,154.1802,3.5685,1.9875,-3.8581,0
38.5495,1.0173,1.1419,3.2934,153.1375,3.4831,2.0562,-3.0522,0
25.2882,1.9672,2.1997,3.2256,129.5627,3.3314,2.0895,-3.8006,0
37.5447,0.9673,0.9048,3.2601,160.1315,3.6184,2.114,-5.0774,0
38.87,1.1979,0.9628,3.2842,153.2525,3.4601,2.0505,-4.0111,0
46.2385,0.9983,1.0724,3.3657,166.4072,3.5008,2.0775,-6.5965,0
41.6328,0.8977,0.8907,3.1573,146.2045,3.5844,2.0723,-3.0625,0
37.0979,0.8583,1.0681,3.1505,146.7977,3.4488,1.9569,-8.0374,0
50.9941,0.7051,0.62,3.2697,165.3539,3.6665,2.0122,-153.9454,0
23.6094,1.0227,1.0197,3.2329,111.9477,3.1386,1.8709,0.0,1
7.8612,0.6815,0.2319,2.394,67.9057,2.8051,1.9099,-3.2763,1
25.1747,1.2814,1.1326,3.1403,129.3109,3.2717,2.0453,-3.5767,1
31.9875,0.9007,0.7993,3.3088,145.2756,3.3033,1.9178,-18.6217,1
14.9505,3.2349,4.223,2.3661,68.656,2.5173,2.0641,-6.1456,1
14.9505,1.1581,2.0807,2.4666,69.4004,2.5189,2.0641,-5.6756,1
22.5401,0.9201,0.9087,3.1269,150.5027,3.3715,1.8982,-4.6699,1
32.9063,0.8353,0.8331,3.1672,129.8947,3.2245,2.0862,-5.5384,1
24.5944,0.704,0.8197,3.1935,131.2339,3.252,1.9746,-6.7227,1
32.6125,1.0735,1.0596,3.3294,134.1382,3.4105,2.0451,-12.2404,1
30.8363,0.695,0.6407,3.2674,123.0387,3.3714,2.0775,-9.3273,1
24.1006,1.0768,1.1092,3.2151,129.8004,3.3216,1.8874,-4.6172,1
25.2822,1.0053,1.0306,3.1395,124.6238,3.1108,2.0294,-7.8466,1
34.2818,1.0716,1.2138,3.2,144.6195,3.3902,1.933,-5.2907,1
34.2818,1.1348,1.2018,3.2852,151.4827,3.4016,1.9336,-4.9629,1
33.4578,0.9193,1.0074,3.2178,143.1042,3.4198,1.9504,-5.3394,1
33.863,0.98,1.1027,3.3058,155.3347,3.389,1.9187,-5.4974,1
27.3803,1.39,1.699,3.1284,140.1315,3.4266,1.9457,-6.837,1
18.6832,0.554,0.5014,3.0223,122.0813,3.2735,2.0324,-9.2151,1
31.9002,0.9934,0.994,3.0455,118.0314,3.1744,2.0172,-9.2807,1
24.2566,1.0219,0.96,3.2301,130.4974,3.3264,2.0187,-5.9609,1
31.283,1.2854,1.2004,3.1645,129.6942,3.2839,1.9021,-5.8321,1
37.4368,1.2343,0.8127,3.071,143.1954,3.3345,2.0423,-7.0356,1
11.8619,4.2999,3.7373,2.4419,68.636,2.9097,1.9812,-5.3325,1
31.588,1.2658,1.4751,3.1453,142.6533,3.2787,1.9691,-3.8909,1
32.9174,1.1553,1.2063,3.0822,130.8423,3.2152,1.927,-3.7113,1
31.588,1.2372,1.3618,3.1453,137.6013,3.2787,1.9687,-3.8676,1
13.6305,1.0932,0.7954,2.4269,71.9807,2.8103,2.0708,-4.3924,1
33.1806,1.0687,0.985,3.004,125.0777,3.256,2.0701,-4.4435,1
28.357,1.3249,0.9103,3.2468,133.7697,3.2822,1.9242,-5.5907,1
26.4286,1.3001,1.2687,3.2089,144.0674,3.2904,1.9162,-3.537,0
9.8829,0.2076,0.272,2.2471,53.691,2.5034,2.0006,-3.2052,0
