model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,8,20,16,42
Classical_orig,1,2,26,9,48
Classical_orig,2,9,19,10,48
Classical_orig,3,11,17,14,43
Classical_orig,4,10,18,14,44
Classical_orig,5,11,17,14,43
Q_1body,0,14,14,6,52
Q_1body,1,19,9,6,51
Q_1body,2,20,8,7,51
Q_1body,3,18,10,4,53
Q_1body,4,15,13,6,52
Q_1body,5,9,19,4,53
Q_2body,0,2,26,8,50
Q_2body,1,19,9,10,47
Q_2body,2,12,16,11,47
Q_2body,3,17,11,20,37
Q_2body,4,19,9,15,43
Q_2body,5,11,17,13,44
SHAP50,0,1,27,6,52
SHAP50,1,19,9,7,50
SHAP50,2,11,17,11,47
SHAP50,3,13,15,8,49
SHAP50,4,12,16,6,52
SHAP50,5,11,17,13,44
