model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,8,20,16,42
Classical_orig,1,2,26,9,48
Classical_orig,2,9,19,10,48
Classical_orig,3,11,17,14,43
Classical_orig,4,10,18,14,44
Classical_orig,5,11,17,14,43
Q_1body,0,12,16,8,50
Q_1body,1,13,15,10,47
Q_1body,2,13,15,8,50
Q_1body,3,13,15,9,48
Q_1body,4,15,13,6,52
Q_1body,5,14,14,9,48
Q_2body,0,6,22,16,42
Q_2body,1,8,20,29,28
Q_2body,2,12,16,18,40
Q_2body,3,11,17,12,45
Q_2body,4,15,13,9,49
Q_2body,5,5,23,17,40
SHAP50,0,4,24,14,44
SHAP50,1,15,13,15,42
SHAP50,2,13,15,20,38
SHAP50,3,9,19,16,41
SHAP50,4,16,12,9,49
SHAP50,5,5,23,9,48
