model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,8,20,16,42
Classical_orig,1,2,26,9,48
Classical_orig,2,9,19,10,48
Classical_orig,3,11,17,14,43
Classical_orig,4,10,18,14,44
Classical_orig,5,11,17,14,43
Q_1body,0,16,12,9,49
Q_1body,1,19,9,7,50
Q_1body,2,16,12,7,51
Q_1body,3,17,11,3,54
Q_1body,4,17,11,4,54
Q_1body,5,10,18,6,51
Q_2body,0,12,16,26,32
Q_2body,1,11,17,24,33
Q_2body,2,15,13,14,44
Q_2body,3,17,11,10,47
Q_2body,4,16,12,6,52
Q_2body,5,12,16,12,45
SHAP50,0,11,17,24,34
SHAP50,1,10,18,22,35
SHAP50,2,12,16,16,42
SHAP50,3,20,8,8,49
SHAP50,4,16,12,6,52
SHAP50,5,4,24,13,44
