split,feature,mean_abs_shap
0,q2_z_108_128,9.600319365182047
0,q2_z_44_130,3.7169040986664923
0,q2_z_29_78,1.2675066802909556
0,q2_z_27_29,1.2226325806851703
0,q2_z_29_69,1.184941211523125
0,q2_z_90_115,0.6241358237605588
0,q2_z_75_96,0.40553100818069165
0,q2_z_107_117,0.20996914797023736
0,q2_z_102_114,0.19902248280235427
0,q2_z_23_143,0.18232584365771526
0,q2_z_44_90,0.1382665494688087
0,q2_z_50_90,0.13011888349875353
0,q2_z_94_107,0.1296043407893249
0,q2_z_139_146,0.121048677670595
0,q2_z_119_154,0.10124712152507079
0,q2_z_23_36,0.08166131353096301
0,q2_z_30_114,0.08105882359489196
0,q2_z_22_23,0.08064558230327865
0,q2_z_28_118,0.07769628003518829
0,q2_z_30_146,0.061883822194877404
0,q2_z_86_129,0.06120277110616844
0,q2_z_149_155,0.05918680573813192
0,q2_z_57_109,0.050907930984694386
0,q2_z_50_108,0.04563626896204861
0,q2_z_108_147,0.043409844078316065
0,q2_z_23_59,0.04187647331709252
0,q2_z_108_123,0.04155575313433242
0,q2_z_98_128,0.03943573301911196
0,q2_z_24_155,0.035878932379515095
0,q2_z_23_77,0.03054044295472825
0,q2_z_64_105,0.02805354765715101
0,q2_z_25_83,0.027873644302427364
0,q2_z_10_140,0.02648234571049834
0,q2_z_6_19,0.02632599850239874
0,q2_z_94_141,0.026034513982067284
0,q2_z_118_141,0.025389050707516382
0,q2_z_84_129,0.024879457609217854
0,q2_z_54_91,0.02455450458297341
0,q2_z_4_126,0.02366544941361765
0,q2_z_29_35,0.02083974734755852
0,q2_z_16_143,0.020432881780861212
0,q2_z_124_137,0.020246712393624418
0,q2_z_22_77,0.020244067789256005
0,q2_z_26_125,0.01936012628790381
0,q2_z_100_129,0.0191554506153803
0,q2_z_91_138,0.01883176807452571
0,q2_z_139_142,0.018538224192596573
0,q2_z_53_91,0.018434532508719126
0,q2_z_15_62,0.018238229740476248
0,q2_z_36_57,0.0180128916684716
0,q2_z_83_140,0.017900001482802668
0,q2_z_118_129,0.017775442458250936
0,q2_z_24_102,0.017499112336783525
0,q2_z_73_120,0.0171583453850142
0,q2_z_19_84,0.017122729722364005
0,q2_z_19_130,0.017099549659748213
0,q2_z_80_102,0.01702217592651084
0,q2_z_80_83,0.016857912344969632
0,q2_z_12_40,0.016701781733072744
0,q2_z_20_83,0.016138408578102118
0,q2_z_26_100,0.015040724496393976
0,q2_z_82_122,0.01377447031787137
0,q2_z_19_119,0.012810018659249432
0,q2_z_3_15,0.012091617208782207
0,q2_z_24_44,0.012011131688540589
0,q2_z_34_94,0.01194618059407878
0,q2_z_93_130,0.011916253812305154
0,q2_z_63_115,0.011851886391675283
0,q2_z_27_116,0.011841720799779864
0,q2_z_45_146,0.011584536301459752
