model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,8,20,16,42
Classical_orig,1,0,28,4,53
Classical_orig,2,8,20,14,44
Classical_orig,3,2,26,2,55
Classical_orig,4,11,17,20,38
Classical_orig,5,14,14,22,35
Q_1body,0,10,18,13,45
Q_1body,1,8,20,9,48
Q_1body,2,9,19,12,46
Q_1body,3,9,19,8,49
Q_1body,4,7,21,17,41
Q_1body,5,7,21,17,40
Q_2body,0,12,16,13,45
Q_2body,1,8,20,14,43
Q_2body,2,11,17,17,41
Q_2body,3,13,15,10,47
Q_2body,4,14,14,16,42
Q_2body,5,10,18,17,40
SHAP50,0,6,22,5,53
SHAP50,1,0,28,0,57
SHAP50,2,0,28,0,58
SHAP50,3,2,26,2,55
SHAP50,4,2,26,3,55
SHAP50,5,0,28,2,55
