model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,7,21,21,37
Classical_orig,1,14,14,19,38
Classical_orig,2,13,15,23,35
Classical_orig,3,10,18,18,39
Classical_orig,4,12,16,32,26
Classical_orig,5,14,14,28,29
Q_1body,0,10,18,24,34
Q_1body,1,14,14,23,34
Q_1body,2,12,16,22,36
Q_1body,3,14,14,22,35
Q_1body,4,7,21,21,37
Q_1body,5,8,20,19,38
Q_2body,0,7,21,15,43
Q_2body,1,12,16,12,45
Q_2body,2,8,20,18,40
Q_2body,3,10,18,11,46
Q_2body,4,13,15,23,35
Q_2body,5,12,16,15,42
SHAP50,0,1,27,1,57
SHAP50,1,4,24,7,50
SHAP50,2,2,26,5,53
SHAP50,3,9,19,10,47
SHAP50,4,8,20,11,47
SHAP50,5,2,26,3,54
