model,fold,cm_00,cm_01,cm_10,cm_11
Classical_orig,0,9,19,19,39
Classical_orig,1,6,22,6,51
Classical_orig,2,9,19,15,43
Classical_orig,3,11,17,21,36
Classical_orig,4,9,19,12,46
Classical_orig,5,8,20,16,41
Q_1body,0,14,14,9,49
Q_1body,1,12,16,8,49
Q_1body,2,13,15,8,50
Q_1body,3,13,15,8,49
Q_1body,4,9,19,5,53
Q_1body,5,20,8,11,46
Q_2body,0,12,16,15,43
Q_2body,1,11,17,5,52
Q_2body,2,12,16,9,49
Q_2body,3,14,14,11,46
Q_2body,4,11,17,12,46
Q_2body,5,10,18,16,41
SHAP50,0,12,16,22,36
SHAP50,1,14,14,10,47
SHAP50,2,22,6,21,37
SHAP50,3,14,14,12,45
SHAP50,4,15,13,11,47
SHAP50,5,10,18,15,42
