subset_indices,subset_names,strength
"(8, 9)","(GATS8e,GATS8s)",1.0125826559289344
"(4, 5)","(CrippenMR,SpMax7_Bhe)",0.5163024545183077
"(0, 4)","(MDEC-23,CrippenMR)",0.5121715754473619
"(4, 10)","(CrippenMR,SpMax5_Bhv)",0.4913500308475216
"(0, 10)","(MDEC-23,SpMax5_Bhv)",0.4184701891501845
"(3, 11)","(VE3_Dt,VE3_Dzi)",0.4121092667755799
"(5, 10)","(SpMax7_Bhe,SpMax5_Bhv)",0.3986932891582353
"(0, 5)","(MDEC-23,SpMax7_Bhe)",0.3852384680813514
"(3, 10)","(VE3_Dt,SpMax5_Bhv)",0.2648668471197446
"(0, 12)","(MDEC-23,VPC-4)",0.2506579560846036
"(0, 6)","(MDEC-23,SpMin1_Bhs)",0.23234902011337977
"(2, 9)","(ATSC8s,GATS8s)",0.21477871583711616
"(2, 8, 9)","(ATSC8s,GATS8e,GATS8s)",0.47791837406742427
"(0, 4, 10)","(MDEC-23,CrippenMR,SpMax5_Bhv)",0.473997265148356
"(0, 4, 5)","(MDEC-23,CrippenMR,SpMax7_Bhe)",0.471237499349007
"(4, 5, 10)","(CrippenMR,SpMax7_Bhe,SpMax5_Bhv)",0.4687819248413549
"(6, 8, 9)","(SpMin1_Bhs,GATS8e,GATS8s)",0.41324810508592225
"(0, 5, 10)","(MDEC-23,SpMax7_Bhe,SpMax5_Bhv)",0.40080064879659044
"(8, 9, 11)","(GATS8e,GATS8s,VE3_Dzi)",0.3840816431457191
"(5, 8, 9)","(SpMax7_Bhe,GATS8e,GATS8s)",0.3827104483414127
"(8, 9, 10)","(GATS8e,GATS8s,SpMax5_Bhv)",0.37278114970583487
"(4, 8, 9)","(CrippenMR,GATS8e,GATS8s)",0.36741162592729865
"(8, 9, 12)","(GATS8e,GATS8s,VPC-4)",0.35933902760064956
"(1, 8, 9)","(MATS2v,GATS8e,GATS8s)",0.35384716012954676
